species,latitude,longitude,year,eventID
Cyclotrachelus sigillatus,35.670778,-83.481653,2016,GRSM.2016.22
Dicaelus teter,35.670778,-83.481653,2016,GRSM.2016.22
Dicaelus teter,35.679121,-83.482275,2016,GRSM.2016.22
Sphaeroderus canadensis,35.679121,-83.482275,2016,GRSM.2016.22
Pterostichus acutipes,35.66449,-83.524234,2016,GRSM.2016.26
Carabus goryi,35.66449,-83.524234,2016,GRSM.2016.26
Pterostichus acutipes,35.670778,-83.481653,2016,GRSM.2016.26
Dicaelus teter,35.670778,-83.481653,2016,GRSM.2016.26
Carabus goryi,35.670778,-83.481653,2016,GRSM.2016.26
Carabus goryi,35.679121,-83.482275,2016,GRSM.2016.26
Sphaeroderus canadensis,35.684589,-83.532102,2016,GRSM.2016.26
Galerita bicolor,35.684589,-83.532102,2016,GRSM.2016.26
Dicaelus dilatatus,35.684589,-83.532102,2016,GRSM.2016.26
Cyclotrachelus sigillatus,35.684589,-83.532102,2016,GRSM.2016.26
Carabus goryi,35.684589,-83.532102,2016,GRSM.2016.26
Dicaelus dilatatus,35.66449,-83.524234,2016,GRSM.2016.26
Pasimachus punctulatus,35.66449,-83.524234,2016,GRSM.2016.26
Cyclotrachelus sigillatus,35.670778,-83.481653,2016,GRSM.2016.26
Sphaeroderus canadensis,35.670778,-83.481653,2016,GRSM.2016.26
Pasimachus punctulatus,35.679121,-83.482275,2016,GRSM.2016.26
Galerita bicolor,35.679121,-83.482275,2016,GRSM.2016.26
Dicaelus dilatatus,35.679121,-83.482275,2016,GRSM.2016.26
Dicaelus teter,35.684589,-83.532102,2016,GRSM.2016.26
Cyclotrachelus sigillatus,35.670778,-83.481653,2016,GRSM.2016.30
Pterostichus acutipes,35.679121,-83.482275,2016,GRSM.2016.30
Dicaelus teter,35.679121,-83.482275,2016,GRSM.2016.30
Carabus goryi,35.679121,-83.482275,2016,GRSM.2016.30
Dicaelus dilatatus,35.684589,-83.532102,2016,GRSM.2016.30
Carabus goryi,35.684589,-83.532102,2016,GRSM.2016.30
Pterostichus acutipes,35.66449,-83.524234,2016,GRSM.2016.30
Cyclotrachelus sigillatus,35.66449,-83.524234,2016,GRSM.2016.30
Cyclotrachelus freitagi,35.66449,-83.524234,2016,GRSM.2016.30
Pterostichus acutipes,35.670778,-83.481653,2016,GRSM.2016.30
Cyclotrachelus freitagi,35.670778,-83.481653,2016,GRSM.2016.30
Dicaelus dilatatus,35.679121,-83.482275,2016,GRSM.2016.30
Cyclotrachelus sigillatus,35.684589,-83.532102,2016,GRSM.2016.30
Galerita bicolor,35.684589,-83.532102,2016,GRSM.2016.30
Pterostichus acutipes,35.679121,-83.482275,2016,GRSM.2016.34
Cyclotrachelus sigillatus,35.66449,-83.524234,2016,GRSM.2016.34
Pterostichus acutipes,35.66449,-83.524234,2016,GRSM.2016.34
Cyclotrachelus sigillatus,35.670778,-83.481653,2016,GRSM.2016.34
Carabus goryi,35.670778,-83.481653,2016,GRSM.2016.34
Dicaelus teter,35.679121,-83.482275,2016,GRSM.2016.34
Cyclotrachelus sigillatus,35.684589,-83.532102,2016,GRSM.2016.34
Carabus goryi,35.679121,-83.482275,2016,GRSM.2016.22
Carabus goryi,35.66449,-83.524234,2016,GRSM.2016.22
Cyclotrachelus freitagi,35.670778,-83.481653,2016,GRSM.2016.22
Cyclotrachelus freitagi,35.66449,-83.524234,2016,GRSM.2016.22
Cyclotrachelus sigillatus,35.684589,-83.532102,2016,GRSM.2016.22
Cyclotrachelus sigillatus,35.670778,-83.481653,2016,GRSM.2016.22
Dicaelus dilatatus,35.684589,-83.532102,2016,GRSM.2016.22
Galerita bicolor,35.684589,-83.532102,2016,GRSM.2016.22
Pasimachus punctulatus,35.66449,-83.524234,2016,GRSM.2016.22
Sphaeroderus stenostomus,35.684589,-83.532102,2016,GRSM.2016.22
Cyclotrachelus sigillatus,35.684589,-83.532102,2016,GRSM.2016.24
Sphaeroderus stenostomus,35.684589,-83.532102,2016,GRSM.2016.26
Galerita bicolor,35.684589,-83.532102,2016,GRSM.2016.26
Carabus goryi,35.684589,-83.532102,2016,GRSM.2016.26
Pasimachus punctulatus,35.679121,-83.482275,2016,GRSM.2016.26
Dicaelus dilatatus,35.670778,-83.481653,2016,GRSM.2016.26
Cyclotrachelus sigillatus,35.670778,-83.481653,2016,GRSM.2016.26
Carabus goryi,35.670778,-83.481653,2016,GRSM.2016.26
Pterostichus tristis,35.670778,-83.481653,2016,GRSM.2016.26
Pasimachus punctulatus,35.66449,-83.524234,2016,GRSM.2016.26
Dicaelus dilatatus,35.66449,-83.524234,2016,GRSM.2016.26
Sphaeroderus bicarinatus,35.670778,-83.481653,2016,GRSM.2016.30
Carabus goryi,35.66449,-83.524234,2016,GRSM.2016.30
Cyclotrachelus freitagi,35.670778,-83.481653,2016,GRSM.2016.30
Dicaelus teter,35.684589,-83.532102,2016,GRSM.2016.30
Galerita bicolor,35.684589,-83.532102,2016,GRSM.2016.30
Pterostichus tristis,35.670778,-83.481653,2016,GRSM.2016.34
Pterostichus moestus,35.670778,-83.481653,2016,GRSM.2016.34
Carabus goryi,35.679121,-83.482275,2016,GRSM.2016.34
Pterostichus acutipes,35.66449,-83.524234,2016,GRSM.2016.34
Pterostichus coracinus,35.66449,-83.524234,2016,GRSM.2016.34
Dicaelus dilatatus,35.684589,-83.532102,2016,GRSM.2016.28
Sphaeroderus bicarinatus,35.670778,-83.481653,2016,GRSM.2016.30
Sphaeroderus bicarinatus,35.670778,-83.481653,2016,GRSM.2016.30
Cyclotrachelus sigillatus,35.684589,-83.532102,2016,GRSM.2016.30
Dicaelus dilatatus,35.684589,-83.532102,2016,GRSM.2016.30
Dicaelus teter,35.66449,-83.524234,2016,GRSM.2016.30
Pasimachus punctulatus,35.679121,-83.482275,2016,GRSM.2016.30
Pterostichus acutipes,35.670778,-83.481653,2016,GRSM.2016.30
Sphaeroderus stenostomus,35.679121,-83.482275,2016,GRSM.2016.30
Pterostichus stygicus,35.684589,-83.532102,2016,GRSM.2016.34
Galerita bicolor,35.684589,-83.532102,2016,GRSM.2016.34
Pterostichus moestus,35.670778,-83.481653,2016,GRSM.2016.34
Pterostichus moestus,35.670778,-83.481653,2016,GRSM.2016.34
Pterostichus moestus,35.670778,-83.481653,2016,GRSM.2016.34
Sphaeroderus bicarinatus,35.679121,-83.482275,2016,GRSM.2016.34
Cyclotrachelus sigillatus,35.66449,-83.524234,2016,GRSM.2016.34
Anillinus langdoni,35.670778,-83.481653,2017,GRSM.2017.14
Carabus goryi,35.670778,-83.481653,2017,GRSM.2017.14
Carabus goryi,35.66449,-83.524234,2017,GRSM.2017.14
Dicaelus teter,35.679121,-83.482275,2017,GRSM.2017.14
Dicaelus teter,35.679121,-83.482275,2017,GRSM.2017.14
Dicaelus dilatatus,35.679121,-83.482275,2017,GRSM.2017.14
Dicaelus dilatatus,35.679121,-83.482275,2017,GRSM.2017.14
Carabus goryi,35.684589,-83.532102,2017,GRSM.2017.14
Carabus goryi,35.679121,-83.482275,2017,GRSM.2017.14
Carabus goryi,35.66449,-83.524234,2017,GRSM.2017.14
Carabus goryi,35.670778,-83.481653,2017,GRSM.2017.14
Carabus goryi,35.670778,-83.481653,2017,GRSM.2017.14
Carabus goryi,35.66449,-83.524234,2017,GRSM.2017.14
Carabus goryi,35.670778,-83.481653,2017,GRSM.2017.14
Carabus goryi,35.679121,-83.482275,2017,GRSM.2017.14
Carabus goryi,35.66449,-83.524234,2017,GRSM.2017.14
Carabus goryi,35.670778,-83.481653,2017,GRSM.2017.14
Carabus goryi,35.670778,-83.481653,2017,GRSM.2017.14
Carabus goryi,35.670778,-83.481653,2017,GRSM.2017.14
Carabus goryi,35.670778,-83.481653,2017,GRSM.2017.14
Carabus goryi,35.670778,-83.481653,2017,GRSM.2017.14
Carabus goryi,35.684589,-83.532102,2017,GRSM.2017.14
Carabus goryi,35.684589,-83.532102,2017,GRSM.2017.14
Carabus goryi,35.684589,-83.532102,2017,GRSM.2017.14
Carabus goryi,35.684589,-83.532102,2017,GRSM.2017.14
Dicaelus dilatatus,35.684589,-83.532102,2017,GRSM.2017.14
Anillinus langdoni,35.670778,-83.481653,2017,GRSM.2017.14
Notiophilus aeneus,35.679121,-83.482275,2017,GRSM.2017.18
Carabus goryi,35.684589,-83.532102,2017,GRSM.2017.18
Carabus goryi,35.684589,-83.532102,2017,GRSM.2017.20
Dicaelus teter,35.670778,-83.481653,2017,GRSM.2017.18
Dicaelus dilatatus,35.684589,-83.532102,2017,GRSM.2017.18
Pasimachus punctulatus,35.679121,-83.482275,2017,GRSM.2017.18
Dicaelus dilatatus,35.679121,-83.482275,2017,GRSM.2017.18
Dicaelus dilatatus,35.670778,-83.481653,2017,GRSM.2017.18
Carabus goryi,35.684589,-83.532102,2017,GRSM.2017.18
Carabus goryi,35.684589,-83.532102,2017,GRSM.2017.18
Carabus goryi,35.684589,-83.532102,2017,GRSM.2017.18
Carabus goryi,35.66449,-83.524234,2017,GRSM.2017.18
Carabus goryi,35.670778,-83.481653,2017,GRSM.2017.18
Carabus goryi,35.670778,-83.481653,2017,GRSM.2017.18
Carabus goryi,35.670778,-83.481653,2017,GRSM.2017.18
Carabus goryi,35.679121,-83.482275,2017,GRSM.2017.18
Carabus goryi,35.679121,-83.482275,2017,GRSM.2017.18
Carabus goryi,35.679121,-83.482275,2017,GRSM.2017.18
Dicaelus teter,35.679121,-83.482275,2017,GRSM.2017.20
Dicaelus dilatatus,35.679121,-83.482275,2017,GRSM.2017.20
Dicaelus dilatatus,35.679121,-83.482275,2017,GRSM.2017.20
Dicaelus teter,35.670778,-83.481653,2017,GRSM.2017.20
Dicaelus dilatatus,35.679121,-83.482275,2017,GRSM.2017.20
Carabus goryi,35.684589,-83.532102,2017,GRSM.2017.20
Carabus goryi,35.684589,-83.532102,2017,GRSM.2017.20
Pterostichus acutipes,35.66449,-83.524234,2017,GRSM.2017.20
Pterostichus acutipes,35.66449,-83.524234,2017,GRSM.2017.20
Pterostichus acutipes,35.66449,-83.524234,2017,GRSM.2017.20
Pasimachus punctulatus,35.66449,-83.524234,2017,GRSM.2017.20
Carabus goryi,35.670778,-83.481653,2017,GRSM.2017.20
Carabus goryi,35.670778,-83.481653,2017,GRSM.2017.20
Carabus goryi,35.684589,-83.532102,2017,GRSM.2017.20
Carabus goryi,35.679121,-83.482275,2017,GRSM.2017.20
Pasimachus punctulatus,35.679121,-83.482275,2017,GRSM.2017.20
Pasimachus punctulatus,35.679121,-83.482275,2017,GRSM.2017.20
Pasimachus punctulatus,35.679121,-83.482275,2017,GRSM.2017.20
Pasimachus punctulatus,35.66449,-83.524234,2017,GRSM.2017.20
Pasimachus punctulatus,35.66449,-83.524234,2017,GRSM.2017.20
Dicaelus politus,35.684589,-83.532102,2017,GRSM.2017.20
Carabus goryi,35.66449,-83.524234,2017,GRSM.2017.24
Carabus goryi,35.684589,-83.532102,2017,GRSM.2017.24
Carabus goryi,35.684589,-83.532102,2017,GRSM.2017.24
Dicaelus dilatatus,35.679121,-83.482275,2017,GRSM.2017.24
Pasimachus punctulatus,35.679121,-83.482275,2017,GRSM.2017.24
Pterostichus acutipes,35.679121,-83.482275,2017,GRSM.2017.24
Cyclotrachelus freitagi,35.684589,-83.532102,2017,GRSM.2017.24
Dicaelus dilatatus,35.684589,-83.532102,2017,GRSM.2017.24
Dicaelus dilatatus,35.679121,-83.482275,2017,GRSM.2017.24
Dicaelus dilatatus,35.679121,-83.482275,2017,GRSM.2017.24
Dicaelus dilatatus,35.679121,-83.482275,2017,GRSM.2017.24
Dicaelus teter,35.679121,-83.482275,2017,GRSM.2017.24
Pasimachus punctulatus,35.679121,-83.482275,2017,GRSM.2017.24
Carabus goryi,35.66449,-83.524234,2017,GRSM.2017.24
Carabus goryi,35.684589,-83.532102,2017,GRSM.2017.24
Carabus goryi,35.684589,-83.532102,2017,GRSM.2017.24
Cyclotrachelus sigillatus,35.670778,-83.481653,2017,GRSM.2017.24
Sphaeroderus stenostomus,35.684589,-83.532102,2017,GRSM.2017.24
Amphasia interstitialis,35.66449,-83.524234,2017,GRSM.2017.24
Sphaeroderus stenostomus,35.684589,-83.532102,2017,GRSM.2017.28
Dicaelus teter,35.670778,-83.481653,2017,GRSM.2017.28
Dicaelus dilatatus,35.679121,-83.482275,2017,GRSM.2017.28
Carabus goryi,35.684589,-83.532102,2017,GRSM.2017.28
Pasimachus punctulatus,35.66449,-83.524234,2017,GRSM.2017.28
Dicaelus teter,35.670778,-83.481653,2017,GRSM.2017.28
Carabus goryi,35.670778,-83.481653,2017,GRSM.2017.28
Carabus goryi,35.670778,-83.481653,2017,GRSM.2017.28
Carabus goryi,35.684589,-83.532102,2017,GRSM.2017.28
Dicaelus dilatatus,35.679121,-83.482275,2017,GRSM.2017.28
Pasimachus punctulatus,35.679121,-83.482275,2017,GRSM.2017.28
Pasimachus punctulatus,35.679121,-83.482275,2017,GRSM.2017.28
Dicaelus teter,35.679121,-83.482275,2017,GRSM.2017.28
Pterostichus acutipes,35.679121,-83.482275,2017,GRSM.2017.28
Dicaelus teter,35.679121,-83.482275,2017,GRSM.2017.28
Dicaelus teter,35.679121,-83.482275,2017,GRSM.2017.28
Dicaelus dilatatus,35.670778,-83.481653,2017,GRSM.2017.28
Dicaelus teter,35.679121,-83.482275,2017,GRSM.2017.28
Cylindera unipunctata,35.684589,-83.532102,2017,GRSM.2017.28
Dicaelus dilatatus,35.670778,-83.481653,2017,GRSM.2017.28
Dicaelus dilatatus,35.670778,-83.481653,2017,GRSM.2017.28
Carabus goryi,35.670778,-83.481653,2017,GRSM.2017.28
Carabus goryi,35.670778,-83.481653,2017,GRSM.2017.28
Pterostichus acutipes,35.670778,-83.481653,2017,GRSM.2017.28
Dicaelus dilatatus,35.670778,-83.481653,2017,GRSM.2017.28
Dicaelus dilatatus,35.670778,-83.481653,2017,GRSM.2017.28
Carabus goryi,35.670778,-83.481653,2017,GRSM.2017.28
Carabus goryi,35.66449,-83.524234,2017,GRSM.2017.28
Carabus goryi,35.66449,-83.524234,2017,GRSM.2017.28
Cyclotrachelus freitagi,35.684589,-83.532102,2017,GRSM.2017.28
Pterostichus tristis,35.670778,-83.481653,2017,GRSM.2017.28
Dicaelus teter,35.670778,-83.481653,2017,GRSM.2017.28
Cyclotrachelus freitagi,35.684589,-83.532102,2017,GRSM.2017.28
Sphaeroderus stenostomus,35.66449,-83.524234,2017,GRSM.2017.32
Amphasia interstitialis,35.66449,-83.524234,2017,GRSM.2017.32
Pterostichus acutipes,35.670778,-83.481653,2017,GRSM.2017.32
Pterostichus acutipes,35.679121,-83.482275,2017,GRSM.2017.32
Pterostichus acutipes,35.66449,-83.524234,2017,GRSM.2017.32
Pterostichus acutipes,35.684589,-83.532102,2017,GRSM.2017.32
Pterostichus tristis,35.670778,-83.481653,2017,GRSM.2017.32
Pterostichus tristis,35.670778,-83.481653,2017,GRSM.2017.32
